key,from,to
create_user,connect,connect
contact_us,connect,connect
support_ticket,support,support
support_ticket_user,support,user
support_ticket_response_admin,support,support
support_ticket_response_user,support,user
admin_support_ticket_closed,support,support
user_support_ticket_closed,support,user
admin_support_ticket_warning,support,support
user_support_ticket_warning,support,user
deploily_affiliation,connect,connect
user_affiliation,connect,user
provider_affiliation,connect,user
deploily_subscription,connect,connect
deploily_subscription_trial,connect,connect
user_subscription,connect,user
user_subscription_trial,connect,user
restart_application,support,support
user_restart_application,support,user
user_application_deployed,support,user
user_application_failed,support,user
payment_completed,connect,connect
subscription_expiring,connect,user
managed_ressource_expiring,connect,user
admin_resource_expiring_soon,connect,connect
